2 Thess 3:7-9,
2 Tim 1:6,
2 Tim 1:8,
2 Tim 1:8,
2 Tim 1:13,
2 Tim 1:14,
2 Tim 2:1,
2 Tim 2:2,
2 Tim 2:3,
2 Tim 2:7,
2 Tim 2:8,
2 Tim 2:14,
2 Tim 2:15,
2 Tim 2:16,
2 Tim 2:22
2 Tim 2:22
2 Tim 2:22
2 Tim 2:22
2 Tim 2:22
2 Tim 2:23,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:1-5,
2 Tim 3:10-11,
2 Tim 3:10-11,
2 Tim 3:10-11,
2 Tim 3:10-11,
2 Tim 3:10-11,
2 Tim 3:10-11,
2 Tim 3:10-11,
2 Tim 3:10-11,
2 Tim 3:10-11,
2 Tim 3:14-15,
2 Tim 4:2,
2 Tim 4:2,
2 Tim 4:2,
2 Tim 4:2,
2 Tim 4:2,
2 Tim 4:5,
2 Tim 4:5,
2 Tim 4:5,
2 Tim 4:5,
2 Tim 4:9,
2 Tim 4:11,
2 Tim 4:13,
2 Tim 4:15,
